True_Data_origin,GRU_Predicted_Data_origin,CNN_Predicted_Data_origin,LSTM_Predicted_Data_origin,RNN_Predicted_Data_origin,TimesNet_Predicted_Data_origin
146.16000366210938,147.62997019143222,148.537593569803,147.90397156802646,148.1605985341448,
146.4199981689453,148.9714330297138,149.35194682416477,149.46940125246329,148.97731572179327,145.89820304686054
146.05999755859372,150.71687742862196,152.22702507782014,151.29617495802086,149.9847645400514,145.75333550426603
146.86999511718753,146.3859759601837,148.22787560295183,146.16362693211158,146.82672352542795,145.49260929206443
147.41000366210938,145.67063083409994,147.7410088577053,145.29832171015005,145.8326771952634,145.49589385048375
148.82000732421875,147.07220941330888,148.14253395468404,146.6065454699601,146.98752037799204,145.6710280400871
149.8000030517578,149.00670081389762,147.15902247041413,148.69947283811598,148.00474037172535,146.17103658511982
149.77999877929688,151.54597270061458,149.70147636540787,151.361270426969,150.6034016113972,147.21414494643372
150.0,151.00135647458046,149.61129256653294,151.03684550103935,150.11277836106274,148.26383743780403
152.1699981689453,150.08108295870443,146.1755496736223,150.40487199253948,150.42228906408127,149.00490321163443
153.08999633789062,151.75115823731176,146.91025669684677,152.45688065580907,152.06921955171129,149.91843249044177
154.10000610351562,153.85466002679277,151.2790949625014,154.82122419121515,154.0189384948626,151.1637038377371
155.30000305175784,154.28195786121069,148.50551825220464,154.12806741821987,154.6134905547951,152.85552666601947
156.8699951171875,152.86754107566594,148.4318832012923,153.01490080973963,153.33659644645195,153.7557809240543
157.72999572753903,155.60506827126846,152.33908025933306,156.07574165971346,156.12118537163042,154.58677754041628
155.52999877929688,157.93222913870522,151.16482344411995,158.0563227214625,157.2663339492956,155.35359932338557
154.1600036621094,157.82037814520118,153.19812922441997,158.1007248563801,157.12492093739274,155.3669794366824
154.4600067138672,157.51303321686282,152.020328775463,158.03013612138602,156.83477954382397,154.94371679271535
155.75,154.9382202516099,154.23376682440357,155.16297952677996,155.74965019243973,154.35172726685883
155.4600067138672,155.59956562677144,152.09190180921905,155.56706085720543,156.1017500600883,154.5023448718563
155.0500030517578,154.9826578939428,153.1141014291552,154.67163007086128,154.9174680764827,154.72836052459147
154.49000549316406,155.47088977651947,152.43778582327286,155.44955424086038,155.98181970940823,154.7877327964355
155.3300018310547,156.12363606018334,153.2678320011837,156.20062780020817,156.33417542165262,154.56879337367232
154.27999877929688,156.5941297826157,153.5860465337646,156.66138618431432,156.64868954905614,154.428209602546
157.17999267578125,154.742249981864,156.26352064240564,154.80342187524002,156.47878307743667,154.05470409851387
158.1999969482422,156.07697655477568,154.58268550350294,155.70167642377055,157.69589134225862,154.50668202365432
158.11000061035153,157.58617210676493,158.11494779404163,156.94270725468232,159.0090061038718,155.3648842587369
157.11000061035156,158.20673134925892,153.58336810423498,158.2080864907257,158.08585273042263,156.4760492043027
153.49000549316406,157.59755954281718,154.35405716193782,157.9421915652165,157.59239644888655,156.49686086039188
154.88000488281247,158.31179707951378,156.42336553151836,159.00658238453616,158.15763093160058,155.24414629335706
154.64999389648438,155.38614759916527,157.8593529841055,155.43493753824805,157.0931115800522,154.42875341465606
155.0399932861328,156.5724424636719,156.94728788427528,156.58411628817703,157.64730172306008,154.12010000695122
154.13000488281247,156.6301878720551,152.93597204522666,156.3933780099469,157.49265155250032,154.4539138994904
154.6600036621094,154.65747832799389,150.92591756305774,154.57481211477716,156.2487131559028,154.30005844386218
154.85000610351562,154.91247282651966,151.1986731123434,154.82578126626322,156.4045434586842,154.2782842737009
154.57000732421875,156.62287294101588,153.88692296980662,156.56783587729842,158.03856661680948,154.3574773292618
154.6199951171875,155.07998049715025,154.8416868379427,155.04052886910358,157.03896228427766,154.40266377845577
157.47999572753906,155.7777328592001,157.41335855977013,155.6675835740989,158.19746098728865,154.27892150138814
158.3699951171875,155.74677418905048,157.35088815160452,155.61849453627292,158.32471511591393,154.78003768826466
159.3000030517578,158.5912652559782,155.53219037946835,158.6701561302325,158.8264958660002,155.5695661290318
159.1699981689453,158.81858477919013,153.4089704103535,158.8377262669892,159.25071892033156,156.5830167127239
159.74000549316406,157.74160861263226,153.02651803841582,157.931100853908,158.25951665407047,157.10901480583848
159.16000366210938,159.6732255558527,154.2045449325451,160.07496681882913,158.25197209844555,157.40171750373852
159.91000366210938,159.46362901565226,157.17661687092186,160.21856887078684,158.0362985703323,157.41125756955884
159.86000061035156,161.65980964170376,159.85719808900467,162.61937513872908,160.35447771318286,157.81116798736426
159.11000061035156,159.88649899416123,158.8700513084077,160.1565247428116,159.03837510235462,158.0033621967515
159.22000122070312,158.47825562544676,157.30304849965978,159.39676149317893,157.60630033087,157.90632509781244
159.25999450683594,158.25824633672892,155.77403945080005,159.74401456726628,157.16331062644167,157.53019895321313
158.33999633789062,159.24441301613115,157.35376662705676,159.64603678272397,158.83013566344744,157.18114164023928
160.49000549316403,157.65975640499892,154.64811677265607,158.49581187638614,156.92913131993555,157.24116448485302
160.64999389648438,157.9686406551009,155.06143339794653,159.0536375349384,157.0041504990677,157.61861512888603
160.91000366210938,160.48070539450418,157.22504671984643,160.4478495004878,159.4617025638654,158.21458315744954
160.25999450683594,161.09425461328647,157.0731657701108,161.33826734125614,160.8052281288692,158.8633660179656
161.1999969482422,161.38223960897813,157.05483598231876,162.10150541087205,161.58302461429048,158.81922048520315
160.0,161.1114928572788,158.59537872025248,161.4176978112373,160.1817013371765,158.86670228857943
159.17999267578125,162.13069623795127,158.35571690346296,162.8895886226819,161.16010257498965,158.5318674972324
159.25999450683594,162.09777871583356,160.17388444535754,163.08604436758833,161.11574451744673,158.11604974114016
155.69000244140625,159.31388139724731,159.61657762527466,159.81788635253906,159.2910647392273,157.54996802473548
157.92999267578125,161.7728653479444,161.1301079863988,162.65441868802372,161.22124373511906,156.37562745882587
157.50999450683594,162.93445881897787,161.56747956739127,164.02493611284808,161.59571193017837,156.2141903282277
157.00999450683594,158.27094917128125,158.67378823991385,158.04751300949647,159.30739316107793,155.94477813548292
158.10000610351562,159.89840498662124,156.04103102948102,159.22293226083093,161.31377638474987,156.46153309086185
