True_Data_origin,GRU_Predicted_Data_origin,CNN_Predicted_Data_origin,LSTM_Predicted_Data_origin,RNN_Predicted_Data_origin,TimesNet_Predicted_Data_origin
127.9100037,115.64603085382852,116.84321177659092,124.99201547657786,119.38917927234804,
122.9400024,105.02491160573372,116.49651441869598,121.37272738777676,116.90516329349046,126.32609308729424
122.66999819999998,99.08285531223328,117.30487010301954,121.00795242099976,114.77101405528336,124.88059600773003
122.8700027,113.16884577621416,121.1128788795236,121.83711701557804,119.62582456454494,124.23850962412581
124.3499985,107.02383995056152,124.09231567382812,124.45347499847412,120.44507884979248,122.0832665650097
124.4300003,100.14190323140583,126.69611110011532,124.47412619423118,118.78954918553148,121.8581009836259
124.3799973,114.2462212533455,119.5815895086702,122.9072535993692,116.757327026919,123.05103887882971
125.7900009,106.20659069227628,120.59630925279212,121.32762809839708,114.39491210639936,123.8079932639338
124.0599976,104.07674836225588,122.33026189025868,125.17545119088508,115.61836418619023,124.46607612319389
123.8499985,117.81780495677336,120.81123161613736,122.3551242231832,115.47801623603628,125.33891094496595
121.2600021,110.3403833138942,117.32559179793068,121.7772739733434,112.64155807031872,125.86751780958656
123.8700027,102.16395674991128,121.5480260668303,119.87364662983828,108.71089963439722,124.60182921587555
123.0199966,114.82064799744252,122.20241673114003,122.42826053407212,112.11317919644212,122.76023857183446
119.08999629999998,108.75345391738236,123.90795881911976,122.84196251002112,111.47708531750789,122.12816083303481
119.01000209999998,100.91416466733284,117.22598305550682,118.72425483402075,106.31154342840836,121.39113695738259
121.08000180000002,112.2920807879619,120.66886609070448,118.2604792261719,111.76971434616968,119.89603055458184
120.0100021,106.00499474182458,118.90744631614535,117.60829989433395,108.50085418860957,118.35117019494912
120.97000119999998,101.3178481624682,122.92303872174848,117.24252392418587,107.07448727160252,118.75249949558098
120.55999760000002,112.78376925018628,118.78711059231736,119.28483133047337,108.82185056223771,119.63959518986356
122.6299973,107.012497049779,120.43600276068402,119.269540011437,108.97879705743622,120.289607494498
120.9300003,99.98274027353892,114.07669406517049,116.28218642768334,104.95571982381328,121.10777081719306
120.1399994,111.59398089250249,115.83962529416854,120.242717774324,113.45760831865194,121.36356979409139
116.8700027,108.64934398861216,123.04071056430428,124.2245941618488,115.58508989181388,121.31465471211298
117.7099991,103.0166193488032,126.42580654141712,124.23876762585064,112.64806900241572,119.5853286648538
119.6200027,111.27104086526008,120.06139129453936,117.90393199869712,108.55516855728771,118.1082725347642
124.8300018,103.50569875900555,117.65564421694371,115.60180510409832,103.5343711701751,117.18927066932713
125.6999969,98.95270306104678,113.4218529519652,115.04913609921822,100.4268393747982,119.02504704283145
125.05999760000002,116.44023959927368,115.54348593815968,124.85572713142612,109.7837688639217,121.70013217068441
124.08000180000002,109.90538335725734,114.35092101629893,124.58817510166064,112.06956597225005,123.32835933472978
122.7799988,105.66495524442335,119.01896805639794,126.06563216719609,112.7859418635452,123.67594279129547
119.5299988,115.20712696648864,119.6613624070756,122.577564297058,115.8191544058628,123.37351394322668
120.3099976,113.232756978065,127.9435964881622,127.30053624952102,118.25767230007042,122.29408449372562
121.8799973,112.27666840377624,130.94649473367355,132.30974149007673,119.4260876363296,122.5145060931789
122.7900009,117.22444996232625,122.4306735042238,122.76378600600542,112.4611956214306,122.51352258472987
129.6600037,112.21757863478364,119.66360373923013,121.39252870608972,108.19495797825272,123.01881451376528
129.8699951,111.89217188369254,123.92436604274972,124.10866820734796,106.44856537137572,125.3735362277147
133.0099945,125.17249323704192,123.71498366904252,129.95497999561258,116.9166296565379,128.91358810974768
133.1100006,123.4197579934452,125.69098149507565,131.7842813456626,116.28606018413043,132.57342553552553
131.8899994,119.80350361764432,123.11465227603912,131.02689626812935,112.08546568453312,132.81664138962043
128.6399994,127.72038870718514,124.43147046332238,131.4363006390154,121.26085064290328,131.44814723626942
128.7700043,122.12470235984198,123.66676652941926,128.78397423340968,115.91312535023918,130.54395585100556
128.5399933,118.2970849496313,120.38136026607926,127.64157314282711,109.85411467248277,129.66009994926085
131.9400024,123.84391823629116,130.71885704071838,128.78496040324168,119.34764561334532,129.17300292653204
131.8399963,121.4511759646836,132.5884570086249,129.80868228369172,117.0265601429914,129.9687480419336
130.1499939,117.89090870372944,134.53434299555843,129.12106802772072,111.22474187714636,130.9010561981513
130.2100067,123.90952350596083,126.4691037450074,129.71374378131338,119.7454700116898,131.3781156493565
130.1699982,120.4922245559755,129.3492014033809,130.6974091388627,117.76044893271497,131.24583376296542
131.8300018,118.14112252673708,132.7337644326993,132.30662790929986,114.48047056115264,130.82298298333185
130.2700043,126.73716005582703,131.9023777148404,131.61684686169656,121.40147677909611,131.33053119645615
129.1100006,124.15247747791666,130.87390648449087,132.75042431859924,119.38558300785618,131.26266911347486
130.4600067,116.65956166436362,126.56561958389167,127.64509174623068,109.9097903035678,130.97797234420727
128.1100006,124.68102324997994,131.14174520703736,130.42173269705077,119.1163357088479,130.63854622242448
128.9299927,120.30275797021493,134.94621738616354,130.8972792493045,116.1572432186419,129.6905597844609
129.6900024,117.89252403027017,131.60930037290132,132.462817930717,113.35286992250464,128.91998091466618
133.2100067,123.99614368412588,131.22565834927843,129.4463404116675,119.37294302157213,128.28605186584488
130.4199982,119.58103144581752,130.7949185302996,128.67952944133592,116.13921129958416,129.5606788157542
130.6900024,117.78455299309144,135.29734423641744,129.70955696761533,112.51151784036044,130.704846262575
131.7899933,124.47072060116386,128.74928238467646,130.4937459568097,120.28931583753268,131.19168294483202
135.4900055,119.86601746938854,125.3621788756196,130.581883064883,116.94186784552817,130.9276398529935
136.9299927,114.4179817416788,122.43081063820914,128.59724722170793,110.4087846445636,132.2083703406305
137.3500061,130.61320774939244,131.63011444069787,136.80710067209594,120.99836280932084,133.87498326090608
136.8000031,124.21568835038192,131.79431770378017,135.16717945367088,118.12862700495246,135.20520736490323
136.7100067,115.71452655397448,127.7509935003372,130.3515328892601,111.6327955687862,135.36294476409202
135.3699951,127.3931014414976,129.51366113672822,136.18905951606655,125.86197309855436,135.8734724292824
136.1999969,122.00626596152853,134.54081848837723,138.3209456455179,126.84054128859908,136.08851365898525
137.1999969,115.2580262903621,135.44529141328314,137.2889881268062,122.63366436972618,136.76450215736102
137.7400055,128.6608456285371,130.8702772557933,136.98238146648106,123.61309355810528,136.955360649906
136.0700073,121.80933003171816,130.1585251551217,136.05965877521135,122.29018411379003,137.62706799385668
137.5,118.54574807287476,134.04381807359147,138.11360216152693,122.01875563009406,137.38067020066208
138.9900055,129.0744087858283,134.1117123950597,136.66269203352732,124.32503553357527,137.4894925178725
