True_Data_origin,GRU_Predicted_Data_origin,CNN_Predicted_Data_origin,LSTM_Predicted_Data_origin,RNN_Predicted_Data_origin,TimesNet_Predicted_Data_origin
60.43000030517578,60.4637447392106,58.86339765473304,60.54259519538482,59.052661596964754,
60.450000762939446,60.33364235179761,60.183853154467215,60.4626070339873,58.78931371852559,59.879526116656976
60.54000091552735,60.33318826367121,60.37115400141192,60.51637612489957,58.62299796633032,59.842897488406166
60.900001525878906,60.46838505745927,56.42705860956903,60.6163335538231,59.2963186562265,59.772130430249966
61.38999938964844,60.79940992001411,58.29260575976604,61.07971074425222,59.52196065654788,59.809770279554435
60.90000152587891,61.04994792161051,59.083099862398285,61.43518244069583,59.536126821126345,60.064857440417676
61.0,60.76503674260857,59.08008729814173,60.86676317895399,59.59196956866617,60.17142810794805
60.74999999999999,60.88530965870859,59.400642097648415,61.09866719349611,59.67493680165262,60.22298442149806
60.450000762939446,61.14849936479368,60.63803606836154,61.45135599782225,59.69298760136735,60.059444072510836
59.959999084472656,59.85611284652487,59.249692228171625,60.12736017949237,59.58924177968947,60.03556763335475
59.81999969482421,59.67684848396493,59.54257481398963,60.16110964312247,59.39457482121543,59.96347178735507
59.59999847412108,59.73327244845996,59.936969527613655,60.31270792193845,59.032107400690165,59.82691561232016
59.650001525878906,59.59926333850672,59.46090835694122,59.71419501739001,59.07232950443358,59.56146169640581
60.84000015258789,59.3233352079219,58.03417258398167,59.50506286235986,58.60586888292801,59.36501226111705
61.0099983215332,58.85172338491611,58.15352740366734,59.07563938919566,57.81764348916795,59.43367543929073
60.560001373291016,60.9600427398118,58.40591059355938,61.00551446496456,58.93399774530462,59.689372361129266
61.18000030517579,61.268100625318766,60.2448564352344,61.38594269062378,59.27766674195664,59.90309481067654
61.61000061035156,61.68941462653902,59.25951687120005,61.88024418855912,59.53652516201737,60.007598020188674
60.959999084472656,61.49574241759092,59.19593416737644,61.59958353816728,59.52032946692816,60.203639038394634
61.59999847412109,59.59960215932233,57.29079516476577,59.78891814553481,57.70181139899978,60.254755832959766
62.0,60.53860255204199,58.47720517835114,60.81071502130726,58.43541429340803,60.46247234151817
61.040000915527344,62.182728569221126,59.876727712895445,62.08769640636456,60.12992380703827,60.692737729095846
61.380001068115234,62.00807836198965,59.567613567191984,61.896060481753466,59.91480228521459,60.82261927224683
60.290000915527344,62.8344375978686,61.30934241921295,62.76983835006922,60.67775523817727,60.736044672350566
60.68000030517578,60.37116647480616,61.415784598557366,60.43963118192096,61.01739748628006,60.32428413509435
60.9099998474121,61.91272332748895,62.221644966549775,62.03404285239367,62.5000043491209,60.163494667500366
